,DRUG,BACKGROUND_RATE,conf_level,SENSITIVITY,SPECIFICITY,DPR,SENSITIVITY2,SPECIFICITY2
122,ETH,0.1,0.9,0.8879518072289156,0.6819338422391857,0.8858442767035467,0.7482233502538072,0.9107258797558758
123,ETH,0.1,0.95,0.8869300911854103,0.687396937573616,0.8818116016957915,0.7406091370558375,0.9138423581353071
124,ETH,0.15,0.9,0.8813880126182966,0.7133009956599439,0.8707992968669217,0.7091370558375635,0.9270873912478899
125,ETH,0.15,0.95,0.8789932236205228,0.7183544303797469,0.8627856478130493,0.6913705583756345,0.9306583560576549
126,ETH,0.2,0.9,0.8673597983616887,0.7286924298570673,0.8852238651638921,0.6987309644670051,0.933450201272562
127,ETH,0.2,0.95,0.8656668793873644,0.7328471096704484,0.8805707786164823,0.6885786802030457,0.9357875600571355
128,ETH,0.25,0.9,0.8626427406199021,0.7389603130240358,0.8759176920690724,0.6710659898477157,0.9393585248669004
129,ETH,0.25,0.95,0.8544763221569305,0.7481840193704601,0.8607176093475338,0.6274111675126903,0.9459810414231918
130,KAN,0.05,0.9,0.8515097690941386,0.609148665819568,0.953812120980968,0.8469964664310954,0.9342425926717688
131,KAN,0.05,0.95,0.8512455516014235,0.6095820591233435,0.9533925779015218,0.8452296819787986,0.9344991235196032
132,KAN,0.1,0.9,0.8263665594855305,0.8022892819979188,0.9559479766581487,0.8173144876325088,0.9756295694557271
133,KAN,0.1,0.95,0.8262424025741866,0.8027092740534908,0.95579541553835,0.8166077738515901,0.9757150797383385
134,KAN,0.15,0.9,0.8259471050750536,0.8027092740534908,0.9608299324917045,0.8166077738515901,0.9757150797383385
135,KAN,0.15,0.95,0.8248831355627472,0.81811697574893,0.9564056600175446,0.8106007067137809,0.9781948779340716
136,KAN,0.2,0.9,0.8248831355627472,0.81811697574893,0.96021968801251,0.8106007067137809,0.9781948779340716
137,KAN,0.2,0.95,0.8246308966510623,0.8193202146690519,0.9576261489759335,0.8091872791519434,0.9784086536406003
138,KAN,0.25,0.9,0.8234448040273283,0.8193202146690519,0.9632709104084825,0.8091872791519434,0.9784086536406003
139,KAN,0.25,0.95,0.8246308966510623,0.8193202146690519,0.9603341088523589,0.8091872791519434,0.9784086536406003
140,CAP,0.05,0.9,0.8249496981891348,0.7869481765834933,0.9296351028759805,0.793036750483559,0.9792432836751231
141,CAP,0.05,0.95,0.8242424242424242,0.788659793814433,0.929009889735137,0.7891682785299806,0.9795549460824036
142,CAP,0.1,0.9,0.8040816326530612,0.7833001988071571,0.9549846538592702,0.7620889748549323,0.9796172785638596
143,CAP,0.1,0.95,0.8040816326530612,0.7833001988071571,0.9549846538592702,0.7620889748549323,0.9796172785638596
144,CAP,0.15,0.9,0.8035350101971448,0.7833001988071571,0.958281232238263,0.7620889748549323,0.9796172785638596
145,CAP,0.15,0.95,0.8035350101971448,0.7833001988071571,0.9572581561896101,0.7620889748549323,0.9796172785638596
146,CAP,0.2,0.9,0.8029891304347826,0.7833001988071571,0.9603842218938274,0.7620889748549323,0.9796172785638596
147,CAP,0.2,0.95,0.8035350101971448,0.7833001988071571,0.958281232238263,0.7620889748549323,0.9796172785638596
148,CAP,0.25,0.9,0.8013559322033899,0.7833001988071571,0.9649312265545072,0.7620889748549323,0.9796172785638596
149,CAP,0.25,0.95,0.8004101161995899,0.7822311289245157,0.9619756735250654,0.754996776273372,0.9796796110453158
