,Drug,Build_FRS,Test_FRS,Sensitivity,Specificity,Coverage
27,AMI,0.4,0.1,84.85263879369431,98.29601377952756,92.25121074832057
28,AMI,0.4,0.2,84.2357779300891,98.33507403084106,92.36056866114669
29,AMI,0.4,0.30000000000000004,83.61891706648389,98.40422267231327,92.44388897568089
30,AMI,0.4,0.4,83.1275720164609,98.43587069864442,92.49075665260636
31,AMI,0.4,0.5,82.68041237113401,98.4548408854007,92.50637921158152
32,AMI,0.4,0.6,81.61865569272977,98.48614856582496,92.55845440816539
33,AMI,0.4,0.7000000000000001,80.74023303632625,98.49283176081363,92.5949070457741
34,AMI,0.4,0.8,79.83539094650206,98.50645773397808,92.66781232099152
35,AMI,0.4,0.9,78.75257025359835,98.53813688910637,92.73551007655054
36,AMI,0.5,0.1,84.85263879369431,98.29601377952756,92.25121074832057
37,AMI,0.5,0.2,84.2357779300891,98.33507403084106,92.36056866114669
38,AMI,0.5,0.30000000000000004,83.61891706648389,98.40422267231327,92.44388897568089
39,AMI,0.5,0.4,83.1275720164609,98.43587069864442,92.49075665260636
40,AMI,0.5,0.5,82.68041237113401,98.4548408854007,92.50637921158152
41,AMI,0.5,0.6,81.61865569272977,98.48614856582496,92.55845440816539
42,AMI,0.5,0.7000000000000001,80.74023303632625,98.49283176081363,92.5949070457741
43,AMI,0.5,0.8,79.83539094650206,98.50645773397808,92.66781232099152
